,sugar index,bake temp,chill time,calories,grams baking soda,bake time,quality,weight,chocolate,oats,peanut_butter,raisins,nuts,butter type_melted
0,19.25,400.0,41.0,172.0,0.67,9.7,7.915899249322215,16.6,1,0,0,0,1,1
1,1.0,520.0,35.0,146.0,0.44,10.0,7.713689833725181,13.8,1,0,0,0,0,1
2,10.4,440.00000000000006,20.0,142.0,0.53,10.0,7.451384290490536,17.0,1,0,0,0,0,1
3,1.1,570.0,21.0,82.0,0.46,10.9,8.055629793519392,12.4,1,1,0,0,0,1
4,13.5,600.0,52.0,192.0,0.44,9.1,7.4941440436226,14.8,1,0,0,0,0,1
5,5.5,480.0,42.0,173.0,0.66,9.3,7.3887934059428915,12.8,0,0,0,1,0,1
6,2.3,530.0,36.0,114.0,0.5,10.2,7.769541052733855,11.6,1,0,0,0,0,1
7,6.2,490.0,20.0,124.0,0.51,9.9,7.375327499574609,20.4,1,0,0,0,1,1
8,7.0,360.00000000000006,45.0,164.0,0.33,11.0,7.714660778614338,15.0,1,0,0,0,0,1
9,2.4,480.0,41.0,200.0,0.5,9.7,7.69200253160184,12.8,1,1,0,0,0,1
10,7.3,410.0,26.0,157.0,0.64,9.8,7.60422957731513,12.4,1,0,0,0,0,1
11,4.8,370.00000000000006,36.0,148.0,0.41,10.4,8.201690613164178,12.4,0,0,0,1,0,1
12,6.3,390.0,37.0,143.0,0.65,10.0,7.894755390443936,12.8,0,0,0,1,0,1
13,1.3,360.00000000000006,33.0,85.0,0.51,10.4,7.75172816717537,14.4,1,0,0,0,0,1
14,1.8,330.0,16.0,91.0,0.4,11.8,8.352425656205995,12.6,1,0,0,0,0,1
15,7.8,450.0,27.0,153.0,0.55,9.0,7.5271812873857264,14.8,1,0,0,0,0,1
16,15.6,559.9999999999999,75.0,155.0,0.44,8.8,7.422740459553272,13.4,1,1,0,0,0,1
17,1.1,500.0,24.0,169.0,0.78,9.5,7.669681104255021,12.2,0,0,0,1,0,1
18,2.0,210.0,20.0,69.0,0.56,12.2,8.113957546176502,14.6,1,0,0,0,0,1
19,1.5,370.00000000000006,35.0,107.0,0.5,11.4,8.325974116106709,12.6,1,0,0,0,0,1
20,1.2,440.00000000000006,26.0,116.0,0.53,10.3,7.707741888536954,12.6,1,1,0,0,0,1
21,2.3,450.0,73.5,214.0,0.61,9.9,8.718929565855014,14.8,1,1,0,0,0,1
22,1.6,279.99999999999994,24.0,102.0,0.59,11.6,8.3103861854361,13.4,1,0,0,0,0,1
23,18.15,470.0,59.0,182.0,0.52,9.6,7.501892141859791,14.4,1,0,0,0,0,1
24,8.9,430.0,31.0,172.0,0.6,9.2,7.188966297138494,13.4,1,0,0,0,1,1
25,10.8,410.0,70.0,189.0,0.49,8.6,6.168429906994977,14.4,1,0,0,0,1,1
26,2.25,370.00000000000006,8.0,210.0,0.62,9.9,7.624438911217798,13.0,0,0,0,1,0,1
27,1.3,410.0,62.0,138.0,0.42,10.0,7.344164362123798,13.4,1,0,0,0,0,1
28,10.4,500.0,76.0,192.0,0.42,8.7,6.862680935923926,14.4,1,0,0,0,1,1
29,7.5,490.0,38.0,158.0,0.38,9.6,7.555879846170513,14.6,1,0,0,0,0,1
30,1.9,510.0,52.0,195.0,0.5,10.9,8.069930766708648,15.6,1,0,0,0,0,1
